criador,year,valueUSDB
Abolengo,2018.0,10741.733
Abolengo,2019.0,15988.116
Abolengo,2020.0,15362.605
Abolengo,2021.0,15553.089
Abolengo,2022.0,19784.97
Abolengo,2023.0,18283.44
Abolengo,2024.0,21748.621
El Mallin,2018.0,4761.905
El Mallin,2019.0,15375.945
El Mallin,2020.0,6390.9893
El Mallin,2021.0,12493.429
El Mallin,2022.0,12707.909
El Mallin,2023.0,8823.143
El Mallin,2024.0,10353.055
El Paraiso,2018.0,6050.42
El Paraiso,2019.0,10767.541
El Paraiso,2020.0,5438.1714
El Paraiso,2021.0,12494.24
El Paraiso,2022.0,18147.646
El Paraiso,2023.0,24507.07
El Paraiso,2024.0,23749.229
Firmamento,2018.0,10080.948
Firmamento,2019.0,18251.914
Firmamento,2020.0,9852.132
Firmamento,2021.0,12764.124
Firmamento,2022.0,13888.342
Firmamento,2023.0,9174.238
Firmamento,2024.0,15205.349
La Pasion,2019.0,10031.688
La Pasion,2020.0,6489.2646
La Pasion,2021.0,11637.489
La Pasion,2022.0,13385.381
La Pasion,2023.0,13344.357
La Pasion,2024.0,16105.781
Santa Ines,2018.0,11393.062
Santa Ines,2019.0,20560.812
Santa Ines,2020.0,8506.126
Santa Ines,2021.0,15696.722
Santa Ines,2022.0,14478.956
Santa Ines,2023.0,22082.96
Santa Ines,2024.0,12801.848
Vacacion,2018.0,17193.266
Vacacion,2019.0,17464.387
Vacacion,2020.0,16591.95
Vacacion,2021.0,22855.234
Vacacion,2022.0,23756.719
Vacacion,2023.0,23890.191
Vacacion,2024.0,23035.342
